Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month
960959,Canada,Quebec,Hull,J8Y 3Z5,Female,College,,Single,Aurora,28824.06,Standard,2015,11,2016,7
837269,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Doctor,187089,Divorced,Aurora,29049.71,Standard,2017,10,,
611029,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,56951,Married,Aurora,29091.24,Standard,2017,11,,
602585,Canada,Quebec,Hull,J8Y 3Z5,Male,High School or Below,78531,Single,Aurora,29232.69,Standard,2012,9,,
960441,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,,Single,Aurora,29577.28,Standard,2013,10,,
709724,Canada,Ontario,Trenton,K8V 4B2,Male,College,,Single,Aurora,29589.94,Standard,2014,9,,
355578,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,56780,Single,Aurora,29676.81,Standard,2018,1,,
740063,Canada,New Brunswick,Moncton,E1A 2A7,Female,Bachelor,56780,Single,Aurora,29676.81,Standard,2015,1,,
961965,Canada,New Brunswick,Moncton,E1A 2A7,Female,College,,Divorced,Aurora,29830.39,Standard,2016,9,,
167491,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,70434,Single,Aurora,29874.74,Standard,2013,1,2013,9
651377,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,67375,Married,Aurora,29973.42,Standard,2012,10,,
680738,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,67219,Married,Aurora,30061.69,Standard,2016,11,,
108430,Canada,Saskatchewan,Regina,S1J 3C5,Male,Bachelor,49927,Married,Aurora,30081.37,Standard,2013,7,,
776443,Canada,Ontario,Toronto,P1J 8T7,Female,College,,Single,Aurora,30141.62,Standard,2012,11,,
398839,Canada,Quebec,Quebec City,G1B 3L5,Male,Doctor,269631,Divorced,Aurora,30286.69,Standard,2015,4,,
243273,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,103105,Single,Aurora,30475.78,Standard,2018,11,,
187838,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Master,74124,Married,Aurora,30591.61,Standard,2017,3,,
946439,Canada,Quebec,Montreal,H2Y 4R4,Male,Master,74124,Married,Aurora,30591.61,Standard,2018,12,,
530880,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,62112,Single,Aurora,30763.26,Standard,2013,10,,
904397,Canada,Ontario,Trenton,K8V 4B2,Male,Doctor,243236,Married,Aurora,30850.59,Standard,2017,4,2018,5
939399,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,83036,Married,Aurora,30859.36,Standard,2014,6,,
300371,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,74099,Divorced,Aurora,30909.22,Standard,2014,11,,
499874,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,97976,Married,Aurora,31269.27,Standard,2015,4,,
532997,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,63022,Married,Aurora,31316.61,Standard,2016,7,,
103969,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,52405,Married,Aurora,31410.93,Standard,2015,4,,
173673,Canada,Ontario,Sudbury,M5V 1G5,Male,College,,Married,Aurora,31516.51,Standard,2016,6,,
562510,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,74745,Married,Aurora,31920.77,Standard,2017,1,2017,8
183129,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,54908,Married,Aurora,32021.4,Standard,2013,2,,
483274,Canada,Ontario,Toronto,M2P 4F6,Female,Bachelor,65078,Married,Aurora,32227.08,Standard,2015,1,2016,9
880402,Canada,Alberta,Calgary,T3E 2V9,Male,Bachelor,62289,Married,Aurora,32269.85,Standard,2018,12,,
525612,Canada,Ontario,Kingston,M9K 2P4,Female,Bachelor,84190,Divorced,Aurora,32474.77,Standard,2014,4,,
103151,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,64962,Married,Aurora,32613.69,Standard,2013,5,,
961440,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,64962,Married,Aurora,32613.69,Standard,2013,2,2015,1
171350,Canada,Quebec,Montreal,H2Y 4R4,Male,Bachelor,88921,Married,Aurora,32643.08,Standard,2015,5,,
944636,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,60732,Single,Aurora,32677.34,Standard,2014,11,,
300460,Canada,Saskatchewan,Regina,S1J 3C5,Female,Bachelor,61099,Married,Aurora,32725.3,Standard,2018,1,2018,9
224178,Canada,Ontario,Ottawa,K1F 2R2,Male,College,,Married,Aurora,32777.3,Standard,2012,11,,
212301,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,68413,Married,Aurora,32861.26,Standard,2012,6,,
798533,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,89340,Divorced,Aurora,32871.75,Standard,2015,5,,
905854,Canada,British Columbia,Kelowna,V09 2E9,Female,Bachelor,80212,Married,Aurora,32961.15,Standard,2016,7,,
571992,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,64284,Married,Aurora,33053.27,Standard,2013,1,,
974875,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,64284,Married,Aurora,33053.27,Standard,2014,11,,
191656,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,94610,Married,Aurora,33451.79,Standard,2018,1,,
501551,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,,Single,Star,3046.25,2018 Promotion,2018,3,,
255320,Canada,Ontario,Kingston,M9K 2P4,Female,Bachelor,56193,Divorced,Aurora,33473.35,Standard,2015,4,,
688132,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,56193,Divorced,Aurora,33473.35,Standard,2012,9,,
720626,Canada,British Columbia,Vancouver,V6E 3D9,Female,College,,Divorced,Star,3664.22,2018 Promotion,2018,2,,
498028,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,75624,Married,Aurora,33873.18,Standard,2016,6,,
339880,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,69412,Married,Aurora,34243.51,Standard,2016,3,,
181184,Canada,Quebec,Montreal,H3T 8L4,Female,Bachelor,46607,Married,Aurora,34611.38,Standard,2014,8,,
906217,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,46607,Married,Aurora,34611.38,Standard,2018,10,,
273054,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,,Divorced,Aurora,34708.87,Standard,2018,1,,
728009,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,57521,Married,Aurora,34931,Standard,2018,6,,
401824,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,93967,Single,Aurora,35062.65,Standard,2014,5,,
278013,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,94935,Divorced,Aurora,35186.26,Standard,2018,7,,
759551,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,86466,Divorced,Aurora,35440.14,Standard,2015,10,,
512471,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,102779,Divorced,Aurora,35444.31,Standard,2015,8,,
402966,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,,Married,Aurora,35537.85,Standard,2017,8,,
834576,Canada,Nova Scotia,Halifax,B3C 2M8,Female,College,,Married,Aurora,35692.17,Standard,2013,6,,
867561,Canada,Ontario,Toronto,M2M 7K8,Female,Doctor,142987,Single,Aurora,35850.6,Standard,2018,9,,
578998,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,50409,Married,Aurora,35900.08,Standard,2016,11,,
863262,Canada,Ontario,Toronto,M8Y 4K8,Male,College,,Single,Aurora,35944.71,Standard,2014,6,,
744181,Canada,British Columbia,Victoria,V10 6T5,Male,College,,Single,Aurora,35984.1,Standard,2018,1,,
380001,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,98006,Single,Aurora,36057.54,Standard,2013,9,,
648455,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,98006,Single,Aurora,36057.54,Standard,2012,11,,
545534,Canada,Quebec,Hull,J8Y 3Z5,Female,College,,Single,Aurora,36181.03,Standard,2013,4,,
923527,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,,Single,Aurora,36181.03,Standard,2015,6,,
491481,Canada,British Columbia,Vancouver,V1E 4R6,Male,College,,Married,Aurora,36470.3,Standard,2015,3,,
309041,Canada,Quebec,Montreal,H2Y 2W2,Male,College,,Married,Aurora,36695.91,Standard,2015,5,,
187077,Canada,Quebec,Montreal,H2T 9K8,Male,High School or Below,66275,Married,Aurora,36860.91,Standard,2015,4,,
939571,Canada,Ontario,Toronto,P1W 1K4,Male,Bachelor,87099,Divorced,Aurora,36946.06,Standard,2015,8,,
912940,Canada,Ontario,Trenton,K8V 4B2,Male,Doctor,145343,Married,Aurora,37150.83,Standard,2018,7,,
302827,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,90682,Married,Aurora,38230.21,Standard,2012,11,,
647658,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,100159,Married,Star,3861.49,2018 Promotion,2018,2,2018,10
168290,Canada,Ontario,Toronto,M2P 4F6,Female,Bachelor,51955,Married,Aurora,38445.86,Standard,2016,7,,
856496,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,67330,Single,Aurora,38496.95,Standard,2018,6,,
491907,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,61984,Married,Aurora,38545.71,Standard,2012,12,,
675419,Canada,Ontario,Toronto,M2Z 4K1,Female,College,,Single,Aurora,39400.19,Standard,2013,7,2014,3
447771,Canada,British Columbia,Vancouver,V6E 3Z3,Male,High School or Below,53062,Married,Aurora,39769.56,Standard,2017,6,,
849510,Canada,Quebec,Montreal,H4G 3T4,Male,College,,Single,Aurora,40440.76,Standard,2014,5,,
687533,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,54786,Married,Aurora,40636.67,Standard,2016,10,,
767971,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,54786,Married,Aurora,40636.67,Standard,2012,11,,
683276,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,47996,Married,Aurora,41075.43,Standard,2018,10,,
225746,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,78464,Married,Aurora,41143.09,Standard,2013,12,,
248497,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,78464,Married,Aurora,41143.09,Standard,2013,9,2014,3
379562,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,59529,Married,Aurora,41491.74,Standard,2014,3,,
343139,Canada,Manitoba,Winnipeg,R6Y 4T5,Female,Bachelor,65151,Married,Aurora,41745.01,Standard,2012,6,,
345765,Canada,Quebec,Montreal,H3T 8L4,Female,Bachelor,65151,Married,Aurora,41745.01,Standard,2016,12,,
123525,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,65997,Divorced,Aurora,41787.9,Standard,2015,1,,
175528,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,65997,Divorced,Aurora,41787.9,Standard,2015,12,,
374967,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,65997,Divorced,Aurora,41787.9,Standard,2016,12,,
607565,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,65997,Divorced,Aurora,41787.9,Standard,2013,4,,
749430,Canada,Manitoba,Winnipeg,R3R 3T4,Female,Bachelor,65997,Divorced,Aurora,41787.9,Standard,2016,1,,
902966,Canada,Newfoundland,St. John's,A1C 6H9,Male,Bachelor,65997,Divorced,Aurora,41787.9,Standard,2013,5,,
559111,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,52623,Married,Aurora,41855.17,Standard,2017,12,,
190524,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,92316,Married,Aurora,42389.01,Standard,2016,6,,
266561,Canada,Quebec,Hull,J8Y 3Z5,Female,College,,Married,Aurora,42462.97,Standard,2018,5,,
563086,Canada,British Columbia,Victoria,V10 6T5,Female,College,,Married,Aurora,42462.97,Standard,2018,5,,
625033,Canada,Newfoundland,St. John's,A1C 6H9,Male,Bachelor,80686,Single,Aurora,42561.63,Standard,2013,5,,
643300,Canada,British Columbia,Victoria,V10 6T5,Female,Bachelor,75335,Married,Aurora,43026.52,Standard,2017,6,,
353369,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,69595,Single,Aurora,43217.22,Standard,2018,9,,
309456,Canada,Quebec,Montreal,H2Y 4R4,Male,High School or Below,67018,Single,Aurora,43290.5,Standard,2016,1,,
923959,Canada,Manitoba,Winnipeg,R2C 0M5,Female,High School or Below,67018,Single,Aurora,43290.5,Standard,2016,11,,
651097,Canada,Ontario,Kingston,M9K 2P4,Male,Bachelor,67952,Single,Aurora,44520.14,Standard,2015,9,,
570299,Canada,Ontario,Toronto,M2M 6J7,Female,Bachelor,74917,Married,Aurora,44795.47,Standard,2015,12,,
258296,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,77037,Married,Aurora,44856.11,Standard,2012,10,,
710029,Canada,Ontario,Toronto,M2P 4F6,Female,Bachelor,54784,Divorced,Aurora,45708.65,Standard,2012,8,,
219431,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,College,,Divorced,Star,3982.27,2018 Promotion,2018,2,,
746031,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,61097,Married,Aurora,47155.63,Standard,2016,3,,
529331,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,78033,Married,Aurora,49221.43,Standard,2013,5,2015,12
125068,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,19464,Married,Star,4064.18,2018 Promotion,2018,3,,
566374,Canada,New Brunswick,Moncton,E1A 2A7,Female,Bachelor,50322,Married,Aurora,51016.07,Standard,2016,7,,
302057,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,50769,Single,Star,4118.59,2018 Promotion,2018,3,,
642323,Canada,Ontario,Toronto,P5S 6R4,Male,College,,Married,Aurora,52811.49,Standard,2017,12,,
798869,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,61718,Single,Aurora,55277.45,Standard,2018,10,,
977244,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,88425,Married,Aurora,56675.94,Standard,2015,4,,
220808,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,62932,Divorced,Star,4358.76,2018 Promotion,2018,2,,
219139,Canada,Alberta,Banff,T4V 1D4,Female,Bachelor,76778,Single,Aurora,58166.55,Standard,2016,3,,
228030,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,50174,Married,Aurora,58753.88,Standard,2018,5,,
592992,Canada,Ontario,Trenton,K8V 4B2,Male,College,,Married,Aurora,61850.19,Standard,2013,7,,
179870,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,56406,Single,Aurora,66025.75,Standard,2017,7,,
838263,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,89210,Married,Aurora,67907.27,Standard,2012,7,,
142726,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,98974,Divorced,Star,4397.78,2018 Promotion,2018,4,,
767366,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,60845,Married,Aurora,73225.96,Standard,2017,3,2017,11
433172,Canada,Alberta,Peace River,T9O 2W2,Female,College,,Married,Nova,2738,Standard,2013,6,,
697356,Canada,Ontario,Toronto,M2M 7K8,Female,College,,Married,Nova,2738,Standard,2014,11,,
225318,Canada,British Columbia,Vancouver,V1E 4R6,Male,College,,Married,Nova,2739.06,Standard,2012,11,,
551533,Canada,Manitoba,Winnipeg,R3R 3T4,Male,Bachelor,55642,Married,Nova,2742.8,Standard,2014,10,2014,11
926083,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,79118,Married,Nova,2742.84,Standard,2015,9,,
240044,Canada,Ontario,Toronto,P5S 6R4,Male,Bachelor,101995,Married,Nova,2743.55,Standard,2017,1,,
583327,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,101995,Married,Nova,2743.55,Standard,2017,8,,
586944,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,89856,Divorced,Nova,2744.08,Standard,2015,5,,
856406,Canada,British Columbia,Vancouver,V6E 3Z3,Male,High School or Below,53149,Married,Nova,2744.17,Standard,2018,1,,
946771,Canada,Ontario,Trenton,K8V 4B2,Male,High School or Below,53149,Married,Nova,2744.17,Standard,2014,8,,
994044,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,101166,Divorced,Nova,2744.52,Standard,2016,8,2018,6
262422,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,57634,Married,Nova,2744.74,Standard,2017,4,,
864485,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,99050,Married,Nova,2745.13,Standard,2016,7,,
571942,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,64975,Married,Nova,2745.25,Standard,2015,11,,
298853,Canada,Ontario,Toronto,M8Y 4K8,Female,Bachelor,102403,Married,Nova,2746.12,Standard,2014,7,,
336882,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,102403,Married,Nova,2746.12,Standard,2017,5,,
343547,Canada,Ontario,Toronto,P1L 8X8,Female,College,,Single,Nova,2746.9,Standard,2016,7,,
434922,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,77496,Single,Nova,2746.92,Standard,2013,3,,
804816,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,77496,Single,Nova,2746.92,Standard,2013,4,2017,8
302921,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,93009,Married,Nova,2747.43,Standard,2014,3,,
973897,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,93009,Married,Nova,2747.43,Standard,2016,3,,
142763,Canada,Ontario,Toronto,P2T 6G3,Male,College,,Single,Nova,2747.77,Standard,2018,12,,
291148,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,73543,Married,Nova,2748.8,Standard,2017,2,,
302804,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,73543,Married,Nova,2748.8,Standard,2017,2,,
741848,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,55642,Married,Nova,2748.85,Standard,2013,2,2015,4
746853,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,55642,Married,Nova,2748.85,Standard,2018,9,,
332780,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,72858,Divorced,Nova,2748.93,Standard,2016,4,,
373204,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,84187,Single,Nova,2749.41,Standard,2018,11,,
751270,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,84187,Single,Nova,2749.41,Standard,2016,5,2017,1
602384,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,56932,Divorced,Nova,2750.54,Standard,2017,8,2018,4
758432,Canada,New Brunswick,Moncton,E1A 2A7,Female,Bachelor,56932,Divorced,Nova,2750.54,Standard,2013,12,,
203745,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,100034,Married,Nova,2750.88,Standard,2016,10,,
156138,Canada,Ontario,Ottawa,K1G 4Z0,Female,Bachelor,95414,Single,Nova,2751.25,Standard,2015,5,,
373950,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,63068,Married,Nova,2751.37,Standard,2015,5,,
161557,Canada,Ontario,Kingston,M9K 2P4,Female,Bachelor,91383,Married,Nova,2752.66,Standard,2018,12,,
326699,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,91383,Married,Nova,2752.66,Standard,2013,6,,
823663,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,86991,Married,Nova,2753.16,Standard,2012,9,,
854812,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,86991,Married,Nova,2753.16,Standard,2015,10,,
890232,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,53045,Single,Nova,2753.31,Standard,2017,5,2018,1
559619,Canada,Quebec,Montreal,H2T 2J6,Female,College,,Married,Nova,2753.78,Standard,2016,5,2017,1
627869,Canada,British Columbia,Victoria,V10 6T5,Female,College,,Married,Nova,2753.78,Standard,2013,1,2016,1
780525,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,74864,Married,Nova,2754.14,Standard,2018,12,,
346205,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,90086,Married,Nova,2754.46,Standard,2014,2,,
985427,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,90086,Married,Nova,2754.46,Standard,2016,9,2017,1
850245,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,60732,Married,Nova,2755.22,Standard,2017,8,,
915948,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,63767,Married,Nova,2756.47,Standard,2013,7,,
479015,Canada,Alberta,Edmonton,T3G 6Y6,Male,High School or Below,81325,Divorced,Nova,2756.94,Standard,2016,4,,
659251,Canada,Ontario,Toronto,M2M 6J7,Female,High School or Below,81325,Divorced,Nova,2756.94,Standard,2014,9,,
949829,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,68797,Married,Nova,2757.38,Standard,2013,4,,
426536,Canada,Quebec,Montreal,H2T 9K8,Female,Doctor,200870,Married,Nova,2758.33,Standard,2013,11,,
621695,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,80051,Married,Nova,2758.5,Standard,2015,8,,
370090,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,64557,Married,Nova,2758.7,Standard,2015,6,,
653636,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,64557,Married,Nova,2758.7,Standard,2016,11,,
663514,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,79023,Married,Nova,2759.62,Standard,2016,8,,
260726,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,99444,Married,Nova,2759.98,Standard,2017,4,,
397891,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,99444,Married,Nova,2759.98,Standard,2015,6,2016,8
405339,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,99444,Married,Nova,2759.98,Standard,2016,11,,
836226,Canada,British Columbia,Vancouver,V6E 3Z3,Male,High School or Below,63114,Married,Star,4558.43,2018 Promotion,2018,3,,
576057,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,99444,Married,Nova,2759.98,Standard,2018,5,,
614373,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,99444,Married,Nova,2759.98,Standard,2013,1,,
724272,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,99444,Married,Nova,2759.98,Standard,2012,10,,
582067,Canada,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,89763,Married,Nova,2760.48,Standard,2018,7,,
628596,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,89763,Married,Nova,2760.48,Standard,2015,11,,
113363,Canada,New Brunswick,Moncton,E1A 2A7,Female,Bachelor,57311,Married,Nova,2760.95,Standard,2017,9,,
172345,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,57311,Married,Nova,2760.95,Standard,2017,4,,
103985,Canada,Ontario,Toronto,M2Z 4K1,Male,College,,Single,Nova,2761.69,Standard,2018,9,,
357903,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,84838,Single,Nova,2762.8,Standard,2018,11,,
860684,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,56667,Married,Nova,2764.03,Standard,2016,1,,
531515,Canada,Alberta,Calgary,T3E 2V9,Male,Bachelor,76606,Married,Nova,2764.49,Standard,2017,7,,
653539,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,76606,Married,Nova,2764.49,Standard,2014,5,,
150134,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,55023,Married,Nova,2764.8,Standard,2013,1,,
316527,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,College,,Married,Nova,2767.5,Standard,2012,6,,
401422,Canada,British Columbia,Vancouver,V5R 1W3,Male,Doctor,240256,Married,Star,4836.22,2018 Promotion,2018,4,,
123697,Canada,Ontario,Toronto,P1W 1K4,Male,College,,Married,Nova,2767.59,Standard,2014,6,,
467151,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Married,Nova,2767.59,Standard,2013,3,,
613195,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,61547,Married,Nova,2769.25,Standard,2017,2,,
976834,Canada,New Brunswick,Moncton,E1A 2A7,Female,Bachelor,61547,Married,Nova,2769.25,Standard,2018,11,,
136049,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,60917,Married,Nova,2769.73,Standard,2018,5,,
122206,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,68546,Single,Nova,2771.05,Standard,2014,10,2015,6
173873,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,68546,Single,Nova,2771.05,Standard,2015,3,,
203973,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,68546,Single,Nova,2771.05,Standard,2017,9,,
276204,Canada,Alberta,Banff,T4V 1D4,Male,Bachelor,68546,Single,Nova,2771.05,Standard,2017,8,,
291595,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,68546,Single,Nova,2771.05,Standard,2017,8,,
606852,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,68546,Single,Nova,2771.05,Standard,2013,4,,
952532,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Single,Nova,2771.96,Standard,2017,11,,
971637,Canada,Ontario,Toronto,P1L 8X8,Female,College,,Single,Nova,2771.96,Standard,2017,4,,
746772,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,90200,Divorced,Nova,2772.44,Standard,2012,10,,
454750,Canada,Ontario,London,M5B 3E4,Male,Bachelor,82005,Married,Nova,2772.5,Standard,2017,4,,
141139,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,59009,Married,Nova,2772.84,Standard,2016,4,,
308144,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,59009,Married,Nova,2772.84,Standard,2017,11,,
691626,Canada,British Columbia,Vancouver,V6E 3D9,Female,College,,Married,Star,5085.02,2018 Promotion,2018,4,,
612370,Canada,New Brunswick,Moncton,E1A 2A7,Female,College,,Divorced,Nova,2774.8,Standard,2015,12,2016,9
840882,Canada,Quebec,Tremblant,H5Y 2S9,Male,College,,Divorced,Nova,2774.8,Standard,2015,12,,
437262,Canada,Ontario,Kingston,M9K 2P4,Female,Doctor,288174,Married,Nova,2775.08,Standard,2017,3,,
825315,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,59875,Divorced,Nova,2775.67,Standard,2015,5,,
760061,Canada,Quebec,Montreal,H2Y 2W2,Female,College,,Single,Nova,2776.32,Standard,2013,4,,
450698,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,69221,Married,Star,5131.36,2018 Promotion,2018,4,,
127289,Canada,British Columbia,Vancouver,V6E 3Z3,Male,College,,Single,Nova,2776.63,Standard,2013,12,,
435883,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,54512,Divorced,Nova,2776.75,Standard,2015,5,2016,1
537124,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,83710,Married,Nova,2776.77,Standard,2014,10,,
849884,Canada,Ontario,London,M5B 3E4,Male,High School or Below,68352,Married,Nova,2776.84,Standard,2013,3,,
523246,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,79786,Married,Nova,2777.34,Standard,2013,11,,
